[2024-05-12 06:15:00,951:INFO:main:welcome to our custom log]
[2024-05-12 06:17:14,383:INFO:main:welcome to our custom log]
[2024-05-12 16:39:52,408: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 16:39:52,432: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 16:39:52,442: INFO: common: created directory at: artifacts]
[2024-05-12 16:39:52,444: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-12 16:39:52,445: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-12 16:40:19,579: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-12 17:00:45,698: INFO: main: welcome to our custom log]
[2024-05-12 17:01:40,463:INFO:main:welcome to our custom log]
[2024-05-12 17:02:39,620: INFO: main: welcome to our custom log]
[2024-05-12 18:59:24,382: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-12 18:59:24,405: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 18:59:24,405: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 18:59:24,406: INFO: common: created directory at: artifacts]
[2024-05-12 18:59:24,407: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-12 18:59:24,407: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-12 18:59:51,953: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-12 18:59:53,236: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-05-12 20:06:05,871: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:06:05,874: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:06:05,875: INFO: common: created directory at: artifacts]
[2024-05-12 20:09:53,903: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:09:53,905: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:09:53,906: INFO: common: created directory at: artifacts]
[2024-05-12 20:10:28,302: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:10:28,303: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:10:28,305: INFO: common: created directory at: artifacts]
[2024-05-12 20:25:45,970: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:25:45,972: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:25:45,973: INFO: common: created directory at: artifacts]
[2024-05-12 20:56:03,280: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:56:03,281: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:56:03,282: INFO: common: created directory at: artifacts]
[2024-05-12 20:56:09,960: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 20:56:09,962: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 20:56:09,964: INFO: common: created directory at: artifacts]
[2024-05-12 21:01:20,290: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 21:01:20,292: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 21:01:20,294: INFO: common: created directory at: artifacts]
[2024-05-12 21:03:21,646: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-12 21:03:21,648: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-12 21:03:21,649: INFO: common: created directory at: artifacts]
[2024-05-13 10:04:13,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 10:04:15,580: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 10:04:15,635: INFO: common: created directory at: artifacts]
[2024-05-13 10:37:56,531: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 10:37:56,878: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 10:37:56,898: INFO: common: created directory at: artifacts]
[2024-05-13 11:07:24,487: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 11:07:24,489: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 11:07:24,490: INFO: common: created directory at: artifacts]
[2024-05-13 11:18:47,431: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 11:18:47,434: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 11:18:47,436: INFO: common: created directory at: artifacts]
[2024-05-13 11:21:18,757: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 11:21:18,759: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 11:21:18,761: INFO: common: created directory at: artifacts]
[2024-05-13 11:53:20,023: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 11:53:20,321: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 11:53:20,345: INFO: common: created directory at: artifacts]
[2024-05-13 11:55:29,457: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 11:55:29,460: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 11:55:29,462: INFO: common: created directory at: artifacts]
[2024-05-13 12:15:21,758: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:15:21,760: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:15:21,761: INFO: common: created directory at: artifacts]
[2024-05-13 12:50:01,094: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:50:01,102: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:50:01,104: INFO: common: created directory at: artifacts]
[2024-05-13 12:50:47,947: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:50:47,949: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:50:47,950: INFO: common: created directory at: artifacts]
[2024-05-13 12:52:40,186: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:52:40,189: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:52:40,192: INFO: common: created directory at: artifacts]
[2024-05-13 12:52:50,441: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:52:50,443: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:52:50,445: INFO: common: created directory at: artifacts]
[2024-05-13 12:52:56,549: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 12:52:56,551: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 12:52:56,552: INFO: common: created directory at: artifacts]
[2024-05-13 13:06:52,326: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 13:06:52,328: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 13:06:52,331: INFO: common: created directory at: artifacts]
[2024-05-13 13:42:51,798: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 13:42:51,851: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 13:42:51,872: INFO: common: created directory at: artifacts]
[2024-05-13 13:53:48,395: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 13:53:48,423: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 13:53:48,428: INFO: common: created directory at: artifacts]
[2024-05-13 14:04:03,424: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 14:04:03,430: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 14:04:03,436: INFO: common: created directory at: artifacts]
[2024-05-13 15:03:07,151: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 15:03:07,189: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 15:03:07,204: INFO: common: created directory at: artifacts]
[2024-05-13 15:07:26,828: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 15:07:26,830: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 15:07:26,832: INFO: common: created directory at: artifacts]
[2024-05-13 16:59:43,007: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 16:59:43,096: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 16:59:43,122: INFO: common: created directory at: artifacts]
[2024-05-13 17:01:26,985: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:01:26,988: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:01:26,990: INFO: common: created directory at: artifacts]
[2024-05-13 17:08:16,035: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:08:16,037: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:08:16,038: INFO: common: created directory at: artifacts]
[2024-05-13 17:14:37,513: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:14:37,516: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:14:37,517: INFO: common: created directory at: artifacts]
[2024-05-13 17:15:32,220: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:15:32,222: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:15:32,223: INFO: common: created directory at: artifacts]
[2024-05-13 17:21:43,064: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:21:43,066: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:21:43,067: INFO: common: created directory at: artifacts]
[2024-05-13 17:31:59,316: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 17:31:59,324: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 17:31:59,324: INFO: common: created directory at: artifacts]
[2024-05-13 18:01:34,359: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 18:01:36,310: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 18:01:36,362: INFO: common: created directory at: artifacts]
[2024-05-13 18:01:36,362: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-13 18:02:25,557: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 18:02:25,562: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 18:02:25,562: INFO: common: created directory at: artifacts]
[2024-05-13 18:02:25,566: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-13 18:02:54,766: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-13 18:22:32,786: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-13 18:22:32,786: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 18:22:32,794: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 18:22:32,811: INFO: common: created directory at: artifacts]
[2024-05-13 18:22:32,812: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-13 18:22:32,812: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-13 18:22:58,401: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-13 18:23:00,456: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-05-13 18:24:07,282: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-05-13 18:24:07,282: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 18:24:07,282: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 18:24:07,282: INFO: common: created directory at: artifacts]
[2024-05-13 18:24:07,282: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-13 18:24:07,282: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-13 18:24:30,560: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1YhKFP8rX6afx5gPFRux2kSXv9KEs6un7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-13 18:24:31,302: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-05-13 21:15:38,422: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-13 21:15:38,522: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-13 21:15:38,558: INFO: common: created directory at: artifacts]
[2024-05-13 21:15:38,563: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-13 21:15:44,504: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-05-13 21:18:01,481: INFO: common: created directory at: artifacts/prepare_base_model]
